Activity,Timestamp,Case ID
a_0,2022-04-20 13:07:59,"187 [a_0, a_1, a_2, a_3, a_4]"
a_1,2022-04-20 13:07:59,"187 [a_0, a_1, a_2, a_3, a_4]"
a_2,2022-04-20 13:08:00,"187 [a_0, a_1, a_2, a_3, a_4]"
a_3,2022-04-20 13:08:00,"187 [a_0, a_1, a_2, a_3, a_4]"
a_4,2022-04-20 13:08:00,"187 [a_0, a_1, a_2, a_3, a_4]"
a_0,2022-04-20 13:03:00,"140 [a_0, a_1, a_2, a_4, a_3]"
a_1,2022-04-20 13:03:00,"140 [a_0, a_1, a_2, a_4, a_3]"
a_2,2022-04-20 13:03:00,"140 [a_0, a_1, a_2, a_4, a_3]"
a_4,2022-04-20 13:03:00,"140 [a_0, a_1, a_2, a_4, a_3]"
a_3,2022-04-20 13:03:00,"140 [a_0, a_1, a_2, a_4, a_3]"
a_0,2022-04-20 13:11:59,"234 [a_0, a_1, a_2, a_4, a_3]"
a_1,2022-04-20 13:12:00,"234 [a_0, a_1, a_2, a_4, a_3]"
a_2,2022-04-20 13:12:00,"234 [a_0, a_1, a_2, a_4, a_3]"
a_4,2022-04-20 13:12:00,"234 [a_0, a_1, a_2, a_4, a_3]"
a_3,2022-04-20 13:11:59,"234 [a_0, a_1, a_2, a_4, a_3]"
a_0,2022-04-20 13:12:59,"241 [a_0, a_1, a_3, a_2, a_4]"
a_1,2022-04-20 13:13:00,"241 [a_0, a_1, a_3, a_2, a_4]"
a_3,2022-04-20 13:13:00,"241 [a_0, a_1, a_3, a_2, a_4]"
a_2,2022-04-20 13:13:00,"241 [a_0, a_1, a_3, a_2, a_4]"
a_4,2022-04-20 13:13:00,"241 [a_0, a_1, a_3, a_2, a_4]"
a_0,2022-04-20 13:04:00,"147 [a_0, a_1, a_3, a_2, a_4]"
a_1,2022-04-20 13:04:00,"147 [a_0, a_1, a_3, a_2, a_4]"
a_3,2022-04-20 13:04:00,"147 [a_0, a_1, a_3, a_2, a_4]"
a_2,2022-04-20 13:04:00,"147 [a_0, a_1, a_3, a_2, a_4]"
a_4,2022-04-20 13:04:00,"147 [a_0, a_1, a_3, a_2, a_4]"
a_0,2022-04-20 13:04:00,"146 [a_0, a_1, a_4, a_2, a_3]"
a_1,2022-04-20 13:03:59,"146 [a_0, a_1, a_4, a_2, a_3]"
a_4,2022-04-20 13:03:59,"146 [a_0, a_1, a_4, a_2, a_3]"
a_2,2022-04-20 13:03:59,"146 [a_0, a_1, a_4, a_2, a_3]"
a_3,2022-04-20 13:04:00,"146 [a_0, a_1, a_4, a_2, a_3]"
a_0,2022-04-20 12:55:00,"40 [a_0, a_1, a_4, a_3, a_2]"
a_1,2022-04-20 12:55:00,"40 [a_0, a_1, a_4, a_3, a_2]"
