Activity,Timestamp,Case ID
f,2000-01-01 00:00:00,1
c,2000-01-01 00:00:00,1
g,2000-01-01 00:00:00,1
l,2000-01-01 00:00:00,1
h,2000-01-01 00:00:00,1
p,2000-01-01 00:00:00,1
u,2000-01-01 00:00:00,1
t,2000-01-01 00:00:00,10
e,2000-01-01 00:00:00,10
c,2000-01-01 00:00:00,10
g,2000-01-01 00:00:00,10
l,2000-01-01 00:00:00,10
p,2000-01-01 00:00:00,10
q,2000-01-01 00:00:00,10
u,2000-01-01 00:00:00,10
e,2000-01-01 00:00:00,10
a,2000-01-01 00:00:00,100
c,2000-01-01 00:00:00,100
g,2000-01-01 00:00:00,100
p,2000-01-01 00:00:00,100
i,2000-01-01 00:00:00,100
k,2000-01-01 00:00:00,100
j,2000-01-01 00:00:00,100
c,2000-01-01 00:00:00,1000
f,2000-01-01 00:00:00,1000
g,2000-01-01 00:00:00,1000
w,2000-01-01 00:00:00,1000
l,2000-01-01 00:00:00,1000
c,2000-01-01 00:00:00,101
f,2000-01-01 00:00:00,101
g,2000-01-01 00:00:00,101
i,2000-01-01 00:00:00,101
p,2000-01-01 00:00:00,101
n,2000-01-01 00:00:00,101
j,2000-01-01 00:00:00,101
a,2000-01-01 00:00:00,102
c,2000-01-01 00:00:00,102
g,2000-01-01 00:00:00,102
p,2000-01-01 00:00:00,102
i,2000-01-01 00:00:00,102
k,2000-01-01 00:00:00,102
j,2000-01-01 00:00:00,102
f,2000-01-01 00:00:00,103
c,2000-01-01 00:00:00,103
g,2000-01-01 00:00:00,103
i,2000-01-01 00:00:00,103
p,2000-01-01 00:00:00,103
t,2000-01-01 00:00:00,103
j,2000-01-01 00:00:00,103
c,2000-01-01 00:00:00,104
a,2000-01-01 00:00:00,104
g,2000-01-01 00:00:00,104
p,2000-01-01 00:00:00,104
i,2000-01-01 00:00:00,104
t,2000-01-01 00:00:00,104
j,2000-01-01 00:00:00,104
f,2000-01-01 00:00:00,105
c,2000-01-01 00:00:00,105
g,2000-01-01 00:00:00,105
i,2000-01-01 00:00:00,105
p,2000-01-01 00:01:00,105
t,2000-01-01 00:01:00,105
j,2000-01-01 00:01:00,105
a,2000-01-01 00:01:00,106
c,2000-01-01 00:01:00,106
o,2000-01-01 00:01:00,106
g,2000-01-01 00:01:00,106
w,2000-01-01 00:01:00,106
p,2000-01-01 00:01:00,106
l,2000-01-01 00:01:00,106
e,2000-01-01 00:01:00,106
e,2000-01-01 00:01:00,107
t,2000-01-01 00:01:00,107
c,2000-01-01 00:01:00,107
g,2000-01-01 00:01:00,107
p,2000-01-01 00:01:00,107
i,2000-01-01 00:01:00,107
t,2000-01-01 00:01:00,107
j,2000-01-01 00:01:00,107
c,2000-01-01 00:01:00,108
f,2000-01-01 00:01:00,108
g,2000-01-01 00:01:00,108
l,2000-01-01 00:01:00,108
w,2000-01-01 00:01:00,108
p,2000-01-01 00:01:00,108
u,2000-01-01 00:01:00,108
e,2000-01-01 00:01:00,108
a,2000-01-01 00:01:00,109
o,2000-01-01 00:01:00,109
c,2000-01-01 00:01:00,109
g,2000-01-01 00:01:00,109
w,2000-01-01 00:01:00,109
p,2000-01-01 00:01:00,109
u,2000-01-01 00:01:00,109
e,2000-01-01 00:01:00,11
c,2000-01-01 00:01:00,11
t,2000-01-01 00:01:00,11
g,2000-01-01 00:01:00,11
l,2000-01-01 00:01:00,11
q,2000-01-01 00:01:00,11
p,2000-01-01 00:01:00,11
u,2000-01-01 00:01:00,11
f,2000-01-01 00:01:00,110
c,2000-01-01 00:01:00,110
g,2000-01-01 00:01:00,110
p,2000-01-01 00:01:00,110
i,2000-01-01 00:01:00,110
k,2000-01-01 00:01:00,110
j,2000-01-01 00:01:00,110
c,2000-01-01 00:01:00,111
o,2000-01-01 00:01:00,111
g,2000-01-01 00:01:00,111
p,2000-01-01 00:01:00,111
i,2000-01-01 00:01:00,111
n,2000-01-01 00:01:00,111
j,2000-01-01 00:01:00,111
e,2000-01-01 00:01:00,112
c,2000-01-01 00:01:00,112
t,2000-01-01 00:01:00,112
g,2000-01-01 00:01:00,112
p,2000-01-01 00:02:00,112
i,2000-01-01 00:02:00,112
t,2000-01-01 00:02:00,112
j,2000-01-01 00:02:00,112
o,2000-01-01 00:02:00,113
a,2000-01-01 00:02:00,113
c,2000-01-01 00:02:00,113
g,2000-01-01 00:02:00,113
